skills,certifications,experience_years,education_level,projects_completed,github_commits_per_year,soft_skills,expected_salary_lpa,job_role
"Vue.js, Docker, CSS, JavaScript",React Developer Certification,2.1,Diploma,14,391,"Collaboration, Critical Thinking",13.4,Web Developer
"SPSS, NumPy, Excel, SQL, R",None,6.1,Diploma,10,174,"Teamwork, Leadership, Adaptability",8.6,Data Analyst
"LangChain, PyTorch, OpenCV, Hugging Face, Deep Learning, Scikit-learn",None,5.0,PhD,7,186,"Critical Thinking, Creativity, Leadership",14.3,AI Engineer
"MySQL, PHP, JavaScript",None,2.7,Master's,32,191,"Attention to Detail, Communication, Critical Thinking",16.1,Web Developer
"Google Analytics, Statistics, Data Visualization, Pandas",Tableau Desktop Specialist,6.3,Master's,3,186,"Collaboration, Adaptability, Creativity",10.8,Data Analyst
"OpenCV, Keras, NLP, MLOps, Scikit-learn",Microsoft Azure AI,4.0,Bachelor's,11,209,"Problem Solving, Critical Thinking, Attention to Detail, Adaptability",10.6,AI Engineer
"REST APIs, Vue.js, TypeScript, Docker, Node.js, Power BI",AWS Cloud Practitioner,7.7,Bachelor's,14,332,"Time Management, Problem Solving, Creativity, Communication",9.5,Web Developer
"Data Visualization, Google Analytics, SPSS, R, Tableau",Google Data Analytics,3.2,Master's,9,196,"Communication, Problem Solving, Attention to Detail, Leadership",9.7,Data Analyst
"TensorFlow, Machine Learning, LangChain, Keras, OpenCV",Deep Learning Specialization,7.5,Master's,12,188,"Collaboration, Teamwork",10.4,AI Engineer
"Python, SPSS, Excel, Tableau",Tableau Desktop Specialist,2.7,Diploma,9,245,"Communication, Critical Thinking, Time Management",9.1,Data Analyst
"LangChain, Scikit-learn, TensorFlow, Machine Learning, Deep Learning",Deep Learning Specialization,4.7,Master's,4,97,"Collaboration, Time Management, Creativity",14.7,AI Engineer
"Google Analytics, Python, Statistics, SPSS, Data Visualization, Power BI, CSS",IBM Data Analyst,5.5,Master's,10,172,"Collaboration, Communication, Time Management, Creativity",4.9,Data Analyst
"Data Visualization, Pandas, Google Analytics, Python",Microsoft Power BI,11.4,Bachelor's,17,34,"Problem Solving, Adaptability",6.0,Data Analyst
"Node.js, Angular, MongoDB, TypeScript, HTML, MySQL",AWS Cloud Practitioner,3.3,Bachelor's,19,359,"Attention to Detail, Creativity",9.3,Web Developer
"React, TypeScript, PHP",None,5.6,Master's,20,376,"Communication, Critical Thinking",13.4,Web Developer
"Deep Learning, Keras, Python, Hugging Face, SPSS",None,2.4,PhD,8,286,"Time Management, Attention to Detail, Collaboration",11.7,AI Engineer
"MySQL, React, Docker, TypeScript, JavaScript, MongoDB",MongoDB Developer,9.1,Bachelor's,26,170,"Time Management, Communication, Collaboration, Adaptability",9.0,Web Developer
"JavaScript, MySQL, TypeScript, REST APIs, PHP, Angular",None,4.3,Bachelor's,28,326,"Leadership, Communication",15.0,Web Developer
"REST APIs, MongoDB, Docker, JavaScript, MySQL, HTML",Google UX Design,4.6,Bachelor's,26,161,"Problem Solving, Leadership, Collaboration, Communication",6.0,Web Developer
"PHP, Vue.js, MongoDB, CSS, Docker",None,9.8,Bachelor's,20,350,"Teamwork, Critical Thinking, Time Management, Collaboration",7.4,Web Developer
"OpenCV, TensorFlow, Hugging Face",None,3.1,Bachelor's,13,231,"Attention to Detail, Leadership",17.5,AI Engineer
"PyTorch, LangChain, TensorFlow, OpenCV",Deep Learning Specialization,5.2,Master's,11,231,"Communication, Creativity, Time Management, Adaptability",19.7,AI Engineer
"TensorFlow, Scikit-learn, NLP, Deep Learning",None,6.7,Master's,5,474,"Collaboration, Time Management, Attention to Detail",15.1,AI Engineer
"Python, SQL, NumPy, SPSS, Data Visualization, Statistics",SAS Certified Analyst,7.2,Bachelor's,10,193,"Problem Solving, Teamwork, Communication",7.0,Data Analyst
"HTML, Vue.js, PHP, JavaScript, CSS, Node.js",Node.js Certification,6.7,Diploma,23,353,"Time Management, Creativity",14.2,Web Developer
"Docker, CSS, MySQL, REST APIs, JavaScript",MongoDB Developer,8.1,Master's,16,487,"Teamwork, Leadership, Communication",8.8,Web Developer
"MySQL, PHP, Angular",React Developer Certification,5.3,Master's,20,265,"Adaptability, Critical Thinking, Teamwork, Collaboration",10.1,Web Developer
"Angular, MongoDB, CSS, JavaScript, HTML, MLOps",Meta Frontend Developer,3.3,Bachelor's,19,416,"Attention to Detail, Leadership, Problem Solving",14.2,Web Developer
"MySQL, Vue.js, MongoDB",React Developer Certification,1.4,Bachelor's,4,348,"Adaptability, Communication, Leadership, Problem Solving",11.0,Web Developer
"Data Visualization, Excel, Power BI",Google Data Analytics,1.7,Bachelor's,10,285,"Critical Thinking, Collaboration, Attention to Detail, Problem Solving",8.6,Data Analyst
"Python, Tableau, SPSS",SAS Certified Analyst,7.4,Bachelor's,13,156,"Problem Solving, Time Management",5.7,Data Analyst
"Google Analytics, Statistics, Pandas, Excel",IBM Data Analyst,4.6,Master's,18,151,"Communication, Attention to Detail, Time Management, Critical Thinking",8.9,Data Analyst
"Python, Scikit-learn, OpenCV, MongoDB",None,6.6,Master's,11,205,"Collaboration, Attention to Detail, Adaptability, Critical Thinking",18.8,AI Engineer
"Scikit-learn, Keras, MLOps, OpenCV, TensorFlow",AWS Machine Learning,8.3,Master's,12,233,"Critical Thinking, Leadership, Adaptability",7.7,AI Engineer
"MongoDB, REST APIs, CSS, PHP, Docker, Vue.js, Deep Learning",React Developer Certification,3.7,Diploma,19,266,"Problem Solving, Attention to Detail, Communication",10.8,Web Developer
"Hugging Face, TensorFlow, OpenCV, NLP, MLOps",Google TensorFlow Developer,10.3,Master's,8,165,"Creativity, Critical Thinking, Teamwork, Problem Solving",18.2,AI Engineer
"TensorFlow, Deep Learning, MLOps, Machine Learning, OpenCV",Google TensorFlow Developer,6.0,Master's,9,204,"Communication, Problem Solving, Attention to Detail",13.0,AI Engineer
"TensorFlow, PyTorch, Python, LangChain, Machine Learning, Scikit-learn",None,4.9,Bachelor's,16,196,"Teamwork, Communication, Problem Solving, Collaboration",17.3,AI Engineer
"Hugging Face, TensorFlow, Deep Learning",None,6.4,Master's,7,239,"Collaboration, Creativity, Time Management",14.1,AI Engineer
"Statistics, NumPy, SQL, SPSS",Tableau Desktop Specialist,3.5,Bachelor's,9,209,"Creativity, Leadership",10.7,Data Analyst
"Statistics, Pandas, Power BI, SPSS",AWS Data Analytics,1.9,Master's,12,183,"Leadership, Collaboration, Time Management, Communication",14.3,Data Analyst
"PHP, JavaScript, Vue.js",None,7.7,Master's,12,411,"Leadership, Attention to Detail, Teamwork, Critical Thinking",13.6,Web Developer
"React, PHP, JavaScript, CSS, TypeScript, Statistics",AWS Cloud Practitioner,4.8,Diploma,18,206,"Time Management, Critical Thinking",14.9,Web Developer
"SPSS, Excel, Tableau, Data Visualization",None,7.0,Master's,10,50,"Collaboration, Adaptability, Attention to Detail, Teamwork",11.1,Data Analyst
"MySQL, Docker, Angular",React Developer Certification,7.3,Bachelor's,16,305,"Teamwork, Collaboration, Leadership",9.1,Web Developer
"MySQL, Vue.js, Angular, Docker",MongoDB Developer,3.4,Bachelor's,18,296,"Teamwork, Attention to Detail, Problem Solving, Communication",11.0,Web Developer
"Data Visualization, Pandas, SPSS, Tableau, R, NumPy",SAS Certified Analyst,4.0,Master's,11,162,"Leadership, Time Management, Attention to Detail, Adaptability",7.2,Data Analyst
"NLP, TensorFlow, MLOps, PyTorch",NVIDIA Deep Learning,4.0,Master's,7,200,"Time Management, Attention to Detail",12.2,AI Engineer
"JavaScript, Angular, REST APIs, TypeScript, CSS",None,4.7,Diploma,12,463,"Problem Solving, Teamwork",6.7,Web Developer
"TypeScript, Docker, REST APIs",Meta Frontend Developer,5.9,Master's,26,200,"Collaboration, Problem Solving",6.8,Web Developer
"Python, OpenCV, NLP, Machine Learning, Scikit-learn, Deep Learning",Microsoft Azure AI,7.2,Master's,10,271,"Adaptability, Creativity",20.8,AI Engineer
"Docker, MongoDB, TypeScript, Angular, REST APIs",Google UX Design,7.5,Master's,15,319,"Attention to Detail, Teamwork, Collaboration",12.0,Web Developer
"Docker, JavaScript, Node.js",None,8.8,Diploma,4,354,"Leadership, Communication",10.7,Web Developer
"React, MongoDB, CSS, PHP, Docker, Tableau",Meta Frontend Developer,3.4,Diploma,24,264,"Creativity, Problem Solving, Collaboration",6.9,Web Developer
"CSS, HTML, Node.js",MongoDB Developer,7.8,Bachelor's,16,183,"Critical Thinking, Leadership",12.2,Web Developer
"TensorFlow, LangChain, Scikit-learn, Keras, Python, NLP",Deep Learning Specialization,6.9,Bachelor's,12,285,"Teamwork, Attention to Detail",14.0,AI Engineer
"TypeScript, Docker, REST APIs",Meta Frontend Developer,3.8,Bachelor's,6,110,"Critical Thinking, Teamwork, Adaptability",10.0,Web Developer
"R, Pandas, Google Analytics",Microsoft Power BI,7.8,Master's,12,247,"Teamwork, Creativity",8.6,Data Analyst
"Power BI, SQL, Google Analytics, SPSS, R",SAS Certified Analyst,4.9,PhD,8,167,"Adaptability, Time Management",9.0,Data Analyst
"Statistics, Google Analytics, Data Visualization, SPSS, R",Microsoft Power BI,4.8,Bachelor's,8,244,"Leadership, Teamwork, Collaboration, Time Management",7.3,Data Analyst
"R, Excel, SPSS, Google Analytics, Python",SAS Certified Analyst,4.4,Master's,14,236,"Leadership, Time Management, Communication, Creativity",4.4,Data Analyst
"NLP, Keras, PyTorch, Python, MLOps, OpenCV",None,1.7,Bachelor's,12,231,"Communication, Problem Solving, Creativity, Attention to Detail",10.2,AI Engineer
"Docker, CSS, Vue.js, JavaScript, TypeScript, PHP",None,3.3,Bachelor's,19,275,"Time Management, Collaboration",11.7,Web Developer
"Machine Learning, MLOps, Deep Learning, Scikit-learn, LangChain, Python, Angular",IBM AI Engineering,8.3,Master's,14,281,"Adaptability, Teamwork, Time Management",11.4,AI Engineer
"REST APIs, Docker, Angular, JavaScript",Node.js Certification,4.7,Diploma,18,321,"Creativity, Attention to Detail, Problem Solving",10.2,Web Developer
"TensorFlow, Deep Learning, OpenCV",None,5.4,Master's,9,232,"Teamwork, Creativity, Attention to Detail, Adaptability",12.6,AI Engineer
"PyTorch, Keras, MLOps, LangChain, Hugging Face",None,5.2,PhD,12,146,"Adaptability, Attention to Detail",13.2,AI Engineer
"Node.js, React, Angular",React Developer Certification,2.2,Bachelor's,21,187,"Problem Solving, Collaboration, Adaptability, Leadership",9.1,Web Developer
"Python, TensorFlow, LangChain",Microsoft Azure AI,6.3,Master's,5,270,"Creativity, Critical Thinking, Leadership",8.4,AI Engineer
"CSS, REST APIs, HTML, JavaScript, MySQL, MongoDB",None,4.4,Bachelor's,18,378,"Leadership, Problem Solving, Adaptability",15.5,Web Developer
"NLP, Machine Learning, Scikit-learn",AWS Machine Learning,3.8,Bachelor's,12,253,"Adaptability, Collaboration",9.9,AI Engineer
"Data Visualization, Pandas, Google Analytics, NumPy",SAS Certified Analyst,4.8,Diploma,16,128,"Adaptability, Communication, Attention to Detail, Problem Solving",11.1,Data Analyst
"Node.js, TypeScript, HTML, CSS, MongoDB, JavaScript",React Developer Certification,6.5,Master's,13,340,"Leadership, Attention to Detail",7.9,Web Developer
"Vue.js, Angular, Docker, CSS, JavaScript",AWS Cloud Practitioner,3.9,Master's,16,179,"Collaboration, Attention to Detail",17.0,Web Developer
"HTML, Docker, JavaScript",Node.js Certification,7.4,Bachelor's,25,416,"Collaboration, Time Management, Adaptability",15.2,Web Developer
"LangChain, MLOps, Deep Learning, Scikit-learn, Python, PyTorch",NVIDIA Deep Learning,6.5,PhD,17,111,"Communication, Creativity, Time Management, Adaptability",10.4,AI Engineer
"LangChain, Python, MLOps, Scikit-learn",IBM AI Engineering,5.4,Master's,10,152,"Teamwork, Critical Thinking, Communication, Attention to Detail",15.3,AI Engineer
"JavaScript, MongoDB, React, REST APIs, TypeScript, MySQL",Meta Frontend Developer,6.3,Bachelor's,13,17,"Adaptability, Problem Solving, Creativity",5.4,Web Developer
"Keras, NLP, Deep Learning, Scikit-learn, Machine Learning",Deep Learning Specialization,3.9,Bachelor's,20,148,"Adaptability, Creativity, Collaboration",14.8,AI Engineer
"Deep Learning, TensorFlow, MLOps, Keras, OpenCV",None,7.9,PhD,3,239,"Teamwork, Adaptability, Creativity, Attention to Detail",10.9,AI Engineer
"React, Docker, TypeScript, Node.js, Angular, Vue.js",Google UX Design,2.1,Master's,18,305,"Leadership, Adaptability",12.1,Web Developer
"TensorFlow, Hugging Face, PyTorch, Python, MLOps, Machine Learning",None,5.1,Bachelor's,8,280,"Collaboration, Critical Thinking",13.2,AI Engineer
"PyTorch, OpenCV, LangChain",Google TensorFlow Developer,11.5,Master's,1,224,"Time Management, Teamwork",22.9,AI Engineer
"MySQL, Angular, TypeScript, REST APIs, Docker",Google UX Design,8.0,Bachelor's,14,293,"Time Management, Problem Solving, Communication",11.6,Web Developer
"Deep Learning, MLOps, Machine Learning, PyTorch, OpenCV",None,5.3,Bachelor's,8,180,"Leadership, Critical Thinking, Creativity",16.2,AI Engineer
"Node.js, Vue.js, REST APIs, HTML, Docker",Node.js Certification,6.2,Diploma,22,330,"Time Management, Teamwork, Collaboration, Problem Solving",12.0,Web Developer
"Machine Learning, PyTorch, Scikit-learn, Hugging Face",None,7.2,Master's,5,264,"Critical Thinking, Teamwork",9.1,AI Engineer
"Keras, NLP, TensorFlow, MLOps, Python, OpenCV, Data Visualization",Deep Learning Specialization,5.7,Bachelor's,10,180,"Collaboration, Creativity, Teamwork, Time Management",18.3,AI Engineer
"MySQL, JavaScript, TypeScript",None,4.3,Diploma,7,313,"Critical Thinking, Teamwork, Communication, Collaboration",9.4,Web Developer
"TypeScript, HTML, CSS",None,1.4,Bachelor's,12,296,"Leadership, Adaptability, Collaboration, Critical Thinking",4.1,Web Developer
"CSS, Angular, REST APIs, TypeScript, JavaScript, PHP, NumPy",AWS Cloud Practitioner,2.5,Bachelor's,8,256,"Attention to Detail, Leadership, Collaboration",10.0,Web Developer
"Data Visualization, R, Tableau, Python",Tableau Desktop Specialist,9.5,Master's,12,262,"Critical Thinking, Collaboration",12.6,Data Analyst
"NumPy, SQL, Data Visualization, Vue.js",Google Data Analytics,3.2,Diploma,6,207,"Collaboration, Adaptability",9.1,Data Analyst
"Machine Learning, Deep Learning, PyTorch, Keras, LangChain",None,4.0,Bachelor's,3,356,"Leadership, Attention to Detail, Creativity, Communication",11.4,AI Engineer
"Docker, TypeScript, PHP, MongoDB, Vue.js, JavaScript",React Developer Certification,3.7,Master's,6,305,"Attention to Detail, Leadership",8.3,Web Developer
"MongoDB, React, Node.js, REST APIs",Node.js Certification,5.8,Master's,26,300,"Communication, Time Management",8.7,Web Developer
"CSS, React, Vue.js",MongoDB Developer,4.5,Master's,10,454,"Creativity, Critical Thinking",18.2,Web Developer
"OpenCV, Machine Learning, Keras, NLP",Microsoft Azure AI,4.5,Master's,10,185,"Creativity, Teamwork, Collaboration",16.4,AI Engineer
"PHP, Docker, MongoDB, HTML",MongoDB Developer,6.7,Diploma,10,245,"Leadership, Critical Thinking",9.5,Web Developer
"Node.js, MySQL, Angular, REST APIs, Vue.js",Google UX Design,6.6,Bachelor's,13,344,"Communication, Attention to Detail, Collaboration, Leadership",13.4,Web Developer
"SQL, Statistics, Tableau",Tableau Desktop Specialist,1.9,Bachelor's,13,244,"Creativity, Communication, Attention to Detail",13.0,Data Analyst
"Python, LangChain, Keras, Deep Learning, MLOps, Hugging Face, Data Visualization",None,7.8,PhD,12,244,"Attention to Detail, Time Management, Adaptability, Problem Solving",15.1,AI Engineer
"PHP, MongoDB, MySQL",MongoDB Developer,11.0,Bachelor's,13,137,"Leadership, Collaboration",6.1,Web Developer
"HTML, Angular, Docker, JavaScript, CSS, MySQL",None,5.8,Bachelor's,8,493,"Critical Thinking, Collaboration",8.7,Web Developer
"Deep Learning, Python, TensorFlow, LangChain, Hugging Face, MLOps",NVIDIA Deep Learning,1.3,Bachelor's,14,322,"Critical Thinking, Leadership, Adaptability, Collaboration",18.0,AI Engineer
"LangChain, TensorFlow, Keras, NLP",Google TensorFlow Developer,2.5,Bachelor's,1,304,"Leadership, Adaptability, Communication, Attention to Detail",16.5,AI Engineer
"MySQL, React, PHP, TypeScript, MongoDB, Vue.js, Python",Google UX Design,6.1,Bachelor's,25,336,"Problem Solving, Leadership, Adaptability",11.6,Web Developer
"CSS, HTML, Node.js",None,3.6,Bachelor's,8,314,"Attention to Detail, Leadership, Teamwork, Communication",11.7,Web Developer
"Pandas, Excel, NumPy, R, Statistics",Google Data Analytics,3.4,Bachelor's,21,245,"Leadership, Problem Solving",15.9,Data Analyst
"Python, Google Analytics, Data Visualization, Tableau, Excel",Microsoft Power BI,4.4,Bachelor's,4,156,"Creativity, Critical Thinking",9.1,Data Analyst
"JavaScript, Node.js, HTML",None,3.5,Bachelor's,19,212,"Problem Solving, Time Management, Adaptability, Attention to Detail",6.7,Web Developer
"Scikit-learn, NLP, PyTorch, OpenCV",NVIDIA Deep Learning,3.9,Master's,16,128,"Time Management, Leadership, Adaptability",14.3,AI Engineer
"NumPy, Pandas, Tableau, SPSS",Google Data Analytics,9.8,Bachelor's,10,117,"Creativity, Problem Solving, Time Management",7.8,Data Analyst
"SPSS, Tableau, Statistics, NumPy, Excel",None,11.0,Bachelor's,19,122,"Leadership, Attention to Detail, Communication, Collaboration",11.1,Data Analyst
"CSS, React, Angular",Node.js Certification,2.5,Bachelor's,10,235,"Teamwork, Communication, Collaboration",4.5,Web Developer
"TypeScript, REST APIs, Docker, Angular",MongoDB Developer,4.2,Bachelor's,5,294,"Communication, Creativity, Teamwork",5.4,Web Developer
"CSS, Docker, JavaScript, PHP, Node.js, Vue.js, Excel",None,7.1,Bachelor's,16,309,"Teamwork, Communication, Adaptability, Creativity",9.3,Web Developer
"Google Analytics, Power BI, Pandas, Tableau",Microsoft Power BI,3.7,Bachelor's,6,75,"Leadership, Collaboration",10.3,Data Analyst
"Data Visualization, NumPy, Statistics, SPSS",Google Data Analytics,6.5,Bachelor's,12,70,"Adaptability, Collaboration",10.3,Data Analyst
"Excel, Python, Data Visualization, Pandas, R, SPSS",None,5.7,Master's,12,113,"Time Management, Teamwork, Problem Solving, Creativity",13.7,Data Analyst
"Python, Excel, Tableau, R",Microsoft Power BI,4.9,Bachelor's,15,224,"Problem Solving, Attention to Detail, Collaboration, Critical Thinking",10.7,Data Analyst
"JavaScript, PHP, MySQL, Vue.js",Meta Frontend Developer,8.2,PhD,25,227,"Attention to Detail, Creativity, Leadership, Adaptability",10.2,Web Developer
"REST APIs, MySQL, Docker, JavaScript, CSS, HTML",MongoDB Developer,3.2,Bachelor's,14,268,"Attention to Detail, Teamwork, Collaboration, Problem Solving",4.4,Web Developer
"Keras, Python, Scikit-learn, LangChain, Machine Learning",None,2.5,PhD,11,220,"Time Management, Adaptability, Teamwork",10.6,AI Engineer
"Docker, React, REST APIs",Node.js Certification,8.1,Bachelor's,10,328,"Adaptability, Attention to Detail, Time Management, Creativity",11.4,Web Developer
"NLP, Deep Learning, Hugging Face, MLOps",AWS Machine Learning,2.8,Master's,2,199,"Problem Solving, Collaboration, Critical Thinking, Teamwork",14.7,AI Engineer
"Machine Learning, Hugging Face, OpenCV, Scikit-learn, PyTorch",Microsoft Azure AI,6.1,Master's,16,276,"Adaptability, Creativity, Attention to Detail, Problem Solving",14.5,AI Engineer
"LangChain, TensorFlow, Scikit-learn",NVIDIA Deep Learning,8.3,Master's,5,72,"Time Management, Adaptability, Collaboration",20.3,AI Engineer
"Vue.js, MySQL, PHP, HTML, OpenCV",Meta Frontend Developer,2.0,Master's,15,290,"Problem Solving, Time Management",12.4,Web Developer
"Excel, SPSS, R, Python, Google Analytics",AWS Data Analytics,6.1,Master's,7,259,"Leadership, Teamwork",10.3,Data Analyst
"Python, Machine Learning, Scikit-learn",AWS Machine Learning,2.8,Bachelor's,9,211,"Problem Solving, Creativity, Teamwork",11.5,AI Engineer
"Excel, Google Analytics, SPSS, R, Pandas, Tableau",Microsoft Power BI,4.0,Master's,3,240,"Attention to Detail, Communication",6.0,Data Analyst
"Scikit-learn, NLP, Machine Learning, PyTorch",None,6.1,Master's,11,365,"Leadership, Adaptability, Problem Solving",15.3,AI Engineer
"SPSS, Excel, Power BI, Pandas, Python",Google Data Analytics,8.0,Master's,13,156,"Leadership, Time Management, Communication, Collaboration",12.4,Data Analyst
"Statistics, Excel, Power BI, Data Visualization, SPSS, Python",Google Data Analytics,10.8,PhD,18,267,"Teamwork, Communication, Collaboration",6.4,Data Analyst
"Power BI, SQL, SPSS, Statistics, Python",None,4.3,Bachelor's,10,132,"Time Management, Teamwork",6.1,Data Analyst
"PyTorch, Keras, NLP, OpenCV, Power BI",AWS Machine Learning,4.0,Master's,12,205,"Problem Solving, Teamwork, Communication",14.3,AI Engineer
"LangChain, Python, PyTorch, Scikit-learn, MongoDB",NVIDIA Deep Learning,5.4,Master's,19,212,"Teamwork, Communication, Adaptability, Leadership",11.6,AI Engineer
"TypeScript, CSS, Node.js, Vue.js, REST APIs, Data Visualization",None,4.3,Bachelor's,10,280,"Attention to Detail, Communication",8.2,Web Developer
"Power BI, SQL, Data Visualization",AWS Data Analytics,4.0,Bachelor's,14,287,"Leadership, Critical Thinking, Adaptability, Teamwork",6.5,Data Analyst
"Node.js, CSS, Vue.js, PHP, REST APIs",Meta Frontend Developer,2.5,Master's,32,256,"Adaptability, Teamwork, Creativity",13.6,Web Developer
"Power BI, Python, NumPy, SPSS, Google Analytics",None,3.9,PhD,14,283,"Critical Thinking, Problem Solving, Communication, Collaboration",8.9,Data Analyst
"Pandas, R, SQL, SPSS",Google Data Analytics,7.0,Bachelor's,11,128,"Problem Solving, Time Management",11.4,Data Analyst
"Power BI, Pandas, Statistics",AWS Data Analytics,4.5,Master's,25,117,"Teamwork, Communication, Leadership",7.3,Data Analyst
"Machine Learning, Deep Learning, Hugging Face, NLP",None,6.8,Master's,8,270,"Teamwork, Problem Solving, Collaboration, Creativity",16.4,AI Engineer
"PHP, MongoDB, CSS, TypeScript, Docker, React",None,3.3,Bachelor's,19,314,"Collaboration, Communication, Critical Thinking, Leadership",11.4,Web Developer
"CSS, REST APIs, React, PHP",None,4.7,Bachelor's,16,524,"Attention to Detail, Critical Thinking, Teamwork, Collaboration",13.5,Web Developer
"Excel, SQL, SPSS, Power BI, TypeScript",Microsoft Power BI,2.9,Bachelor's,12,124,"Communication, Teamwork",2.5,Data Analyst
"Tableau, Excel, R, SPSS, SQL, Power BI",Google Data Analytics,2.7,Master's,14,125,"Problem Solving, Time Management",13.5,Data Analyst
